DATAFLOW,LAST UPDATE,freq,currency,prod_veg,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:APRI_AP_CRPOUTA$DEFAULTVIEW(1.0),15/05/25 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Austria,2015,13.72,,
ESTAT:APRI_AP_CRPOUTA$DEFAULTVIEW(1.0),15/05/25 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Austria,2016,11.55,,
ESTAT:APRI_AP_CRPOUTA$DEFAULTVIEW(1.0),15/05/25 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Austria,2017,14.46,,
ESTAT:APRI_AP_CRPOUTA$DEFAULTVIEW(1.0),15/05/25 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Austria,2018,15.41,,
ESTAT:APRI_AP_CRPOUTA$DEFAULTVIEW(1.0),15/05/25 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Austria,2019,14.63,,
ESTAT:APRI_AP_CRPOUTA$DEFAULTVIEW(1.0),15/05/25 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Austria,2020,14.88,,
ESTAT:APRI_AP_CRPOUTA$DEFAULTVIEW(1.0),15/05/25 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Austria,2021,22.65,,
ESTAT:APRI_AP_CRPOUTA$DEFAULTVIEW(1.0),15/05/25 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Austria,2022,28.05,,
ESTAT:APRI_AP_CRPOUTA$DEFAULTVIEW(1.0),15/05/25 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Austria,2023,17.90,,
ESTAT:APRI_AP_CRPOUTA$DEFAULTVIEW(1.0),15/05/25 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Austria,2024,17.60,p,
ESTAT:APRI_AP_CRPOUTA$DEFAULTVIEW(1.0),15/05/25 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Belgium,2015,15.44,,
ESTAT:APRI_AP_CRPOUTA$DEFAULTVIEW(1.0),15/05/25 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Belgium,2016,13.34,,
ESTAT:APRI_AP_CRPOUTA$DEFAULTVIEW(1.0),15/05/25 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Belgium,2017,14.14,,
ESTAT:APRI_AP_CRPOUTA$DEFAULTVIEW(1.0),15/05/25 11:00:00,Annual,Euro,Soft wheat - prices per 100 kg,Belgium,2018,16.66,,
